Block	Column	Row	Name
3	1	12	carbSynthe_0732
3	2	12	carbSynthe_0708
3	3	12	carbSynthe_0732
3	4	12	carbSynthe_0708
3	5	12	carbSynthe_1000
3	6	12	carbSynthe_967
3	7	12	carbSynthe_1000
3	8	12	carbSynthe_967
3	9	12	carbSynthe_1088
3	10	12	carbSynthe_1114
3	11	12	carbSynthe_1088
3	12	12	carbSynthe_1114
3	1	13	carbSynthe_0610
3	2	13	carbSynthe_0624
3	3	13	carbSynthe_0610
3	4	13	carbSynthe_0624
3	5	13	carbSynthe_0635
3	6	13	carbSynthe_0851
3	7	13	carbSynthe_0635
3	8	13	carbSynthe_0851
3	9	13	carbSynthe_0701
3	10	13	carbSynthe_0709
3	11	13	carbSynthe_0701
3	12	13	carbSynthe_0709
3	1	14	0
3	2	14	0
3	3	14	0
3	4	14	0
3	5	14	0
3	6	14	0
3	7	14	0
3	8	14	0
3	9	14	0
3	10	14	0
3	11	14	0
3	12	14	0
4	1	1	0
4	2	1	0
4	3	1	0
4	4	1	0
4	5	1	0
4	6	1	0
4	7	1	0
4	8	1	0
4	9	1	0
4	10	1	0
4	11	1	0
4	12	1	0
4	1	2	0
4	2	2	0
4	3	2	0
4	4	2	0
4	5	2	0
4	6	2	0
4	7	2	0
4	8	2	0
4	9	2	0
4	10	2	0
4	11	2	0
4	12	2	0
4	1	3	0
4	2	3	0
4	3	3	0
4	4	3	0
4	5	3	0
4	6	3	0
4	7	3	0
4	8	3	0
4	9	3	0
4	10	3	0
4	11	3	0
4	12	3	0
4	1	4	0
4	2	4	0
4	3	4	0
4	4	4	0
4	5	4	0
4	6	4	0
4	7	4	0
4	8	4	0
4	9	4	0
4	10	4	0
4	11	4	0
4	12	4	0
4	1	5	0
4	2	5	0
4	3	5	0
4	4	5	0
4	5	5	0
4	6	5	0
4	7	5	0
4	8	5	0
4	9	5	0
4	10	5	0
4	11	5	0
4	12	5	0
4	1	6	0
4	2	6	0
4	3	6	0
4	4	6	0
4	5	6	0
4	6	6	0
4	7	6	0
4	8	6	0
4	9	6	0
4	10	6	0
4	11	6	0
4	12	6	0
4	1	7	0
4	2	7	0
4	3	7	0
4	4	7	0
4	5	7	0
4	6	7	0
4	7	7	0
4	8	7	0
4	9	7	0
4	10	7	0
4	11	7	0
4	12	7	0
4	1	8	Rat IgM
4	2	8	FLAG
4	3	8	Rat IgM
4	4	8	FLAG
4	5	8	HA
4	6	8	Biotin
4	7	8	HA
4	8	8	Biotin
4	9	8	0
4	10	8	0
4	11	8	0
4	12	8	0
4	1	9	Human IgG
4	2	9	Human IgM
4	3	9	Human IgG
4	4	9	Human IgM
4	5	9	Mouse IgG
4	6	9	Mouse IgM
4	7	9	Mouse IgG
4	8	9	Mouse IgM
4	9	9	Rabbit IgG
4	10	9	Rat IgG
4	11	9	Rabbit IgG
4	12	9	Rat IgG
4	1	10	Rat IgM
4	2	10	FLAG
4	3	10	Rat IgM
4	4	10	FLAG
